Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
 Chris Chiozza, Egor Koulechev, KeVaughn Allen, Kevarrius Hayes,Keith Stone, Breein Tyree, Deandre Burnett, Dominik Olejniczak, Markel Crawford,Bruce Stevens,1200,1031,0,0,0,7,0,5,1,2,0,0,1,1,2,2,1,0,2,0,1,1,2,0,1,1,1,0,0,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes, Breein Tyree, Deandre Burnett, Dominik Olejniczak, Markel Crawford,Bruce Stevens,1031,992,1,0,7,7,5,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Chris Chiozza,Egor Koulechov,Jalen Hudson,KeVaughn Allen,Kevarrius Hayes,Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,992,992,1,0,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,992,883,1,0,7,9,8,8,1,1,0,0,0,3,0,0,0,1,3,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Breein Tyree,Bruce Stevens,Deandre Burnett,Markel Crawford,Terence Davis,883,883,1,0,9,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Deandre Burnett,Devontae Shuler,Dominik Olejniczak,Markel Crawford,Terence Davis,883,796,1,1,9,12,8,10,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Bruce Stevens,Deandre Burnett,Devontae Shuler,Justas Furmanavicius,Terence Davis,796,742,1,0,12,16,10,10,2,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Gorjok Gak,Jalen Hudson,KeVaughn Allen,Keith Stone,Mike Okauru,Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,742,742,1,0,16,16,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Gorjok Gak,Jalen Hudson,KeVaughn Allen,Mike Okauru,Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,742,713,1,0,16,17,10,11,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0
Chris Chiozza,Egor Koulechov,Gorjok Gak,Jalen Hudson,Mike Okauru,Breein Tyree,Bruce Stevens,Devontae Shuler,Justas Furmanavicius,Terence Davis,713,690,1,0,17,17,11,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
